Category (Col. 1),State/UT/City (Col. 2),Number of Suicides (Col.3),Percentage Share in Total Suicides (Col. 4),FALSE,Rate of Suicides (Col. 6 = Col.3/Col.5)
State,ANDHRA PRADESH,6465,4.6,523.2,12.4
State,ARUNACHAL PRADESH,112,0.1,15.1,7.4
State,ASSAM,2370,1.7,344.2,6.9
State,BIHAR,641,0.5,1201.1,0.5
State,CHHATTISGARH,7629,5.5,288.5,26.4
State,GOA,259,0.2,15.4,16.8
State,GUJARAT,7655,5.5,682.5,11.2
State,HARYANA,4191,3,288.1,14.5
State,HIMACHAL PRADESH,584,0.4,73.2,8
State,JAMMU & KASHMIR,284,0.2,135.3,2.1
State,JHARKHAND,1646,1.2,375.8,4.4
State,KARNATAKA,11288,8.1,659.7,17.1
State,KERALA,8556,6.1,351.9,24.3
State,MADHYA PRADESH,12457,9,826.1,15.1
State,MAHARASHTRA,18916,13.6,1225.3,15.4
State,MANIPUR,58,0,31.1,1.9
State,MEGHALAYA,198,0.1,32.3,6.1
State,MIZORAM,70,0.1,12,5.9
State,NAGALAND,41,0,21.6,1.9
State,ODISHA,4582,3.3,437.3,10.5
State,PUNJAB,2357,1.7,299.4,7.9
State,RAJASTHAN,4531,3.3,776,5.8
State,SIKKIM,220,0.2,6.7,33.1
State,TAMIL NADU,13493,9.7,758.1,17.8
State,TELANGANA,7675,5.5,372.8,20.6
State,TRIPURA,728,0.5,40,18.2
State,UTTAR PRADESH,5464,3.9,2259.7,2.4
State,UTTARAKHAND,516,0.4,111.8,4.6
State,WEST BENGAL,12665,9.1,971.1,13
State,TOTAL (STATES),135651,97.5,13135.2,10.3
UT,A & NISLANDS,181,0.1,4,45.5
UT,CHANDIGARH,131,0.1,11.8,11.1
UT,D & N HAVELI,95,0.1,5.6,17.1
UT,DAMAN & DIU,46,0,4.2,10.9
UT,DELHI (UT),2526,1.8,199.4,12.7
UT,LAKSHADWEEP,0,0,0.7,0
UT,PUDUCHERRY,493,0.4,15.2,32.5
UT,TOTAL (UTs),3472,2.5,240.8,14.4
TOTAL (ALL INDIA),TOTAL (ALL INDIA),139123,100,13376.1,10.4
City,AGRA,129,0.6,17.5,7.4
City,AHMEDABAD,763,3.4,63.5,12
City,ALLAHABAD,31,0.1,12.2,2.5
City,AMRITSAR,78,0.3,11.8,6.6
City,ASANSOL,469,2.1,12.4,37.8
City,AURANGABAD,283,1.3,11.9,23.8
City,BENGALURU,2081,9.3,85,24.5
City,BHOPAL,353,1.6,18.8,18.8
City,CHANDIGARH (CITY),131,0.6,10.3,12.7
City,CHENNAI,2461,11,87,28.3
City,COIMBATORE,338,1.5,21.5,15.7
City,DELHI (CITY),2423,10.8,163.2,14.8
City,DHANBAD,257,1.1,12,21.4
City,DURG BHILAINAGAR,376,1.7,10.6,35.5
City,FARIDABAD,265,1.2,14.1,18.8
City,GHAZIABAD,132,0.6,23.6,5.6
City,GWALIOR,295,1.3,11,26.8
City,HYDERABAD,389,1.7,77.5,5
City,INDORE,618,2.8,21.7,28.5
City,JABALPUR,302,1.3,12.7,23.8
City,JAIPUR,441,2,30.7,14.4
City,JAMSHEDPUR,108,0.5,13.4,8.1
City,JODHPUR,145,0.6,11.4,12.7
City,KANNUR,148,0.7,16.4,9
City,KANPUR,492,2.2,29.2,16.8
City,KOCHI,222,1,21.2,10.5
City,KOLKATA,181,0.8,141.1,1.3
City,KOLLAM,457,2,11.1,41.2
City,KOTA,136,0.6,10,13.6
City,KOZHIKODE,258,1.2,20.3,12.7
City,LUCKNOW,254,1.1,29,8.8
City,LUDHIANA,254,1.1,16.1,15.8
City,MADURAI,345,1.5,14.6,23.6
City,MALAPPURAM,101,0.5,17,5.9
City,MEERUT,38,0.2,14.3,2.7
City,MUMBAI,1229,5.5,184.1,6.7
City,NAGPUR,636,2.8,25,25.4
City,NASIK,366,1.6,15.6,23.5
City,PATNA,92,0.4,20.5,4.5
City,PUNE,719,3.2,50.5,14.2
City,RAIPUR,332,1.5,11.2,29.6
City,RAJKOT,416,1.9,13.9,29.9
City,RANCHI,57,0.3,11.3,5
City,SRINAGAR,2,0,12.7,0.2
City,SURAT,795,3.6,45.9,17.3
City,THIRUVANANTHAPURAM,331,1.5,16.9,19.6
City,THRISSUR,405,1.8,18.6,21.8
City,TIRUCHIRAPPALLI,188,0.8,10.2,18.4
City,VADODARA,218,1,18.2,12
City,VARANASI,49,0.2,14.4,3.4
City,VASAI VIRAR,254,1.1,12.2,20.8
City,VIJAYAWADA,267,1.2,14.9,17.9
City,VISHAKHAPATNAM,280,1.3,17.3,16.2
City,TOTAL (CITIES),22390,100,1607.2,13.9
