,Category (Col. 1),State/UT/City (Col. 2),Number of Suicides (Col.3),Percentage Share in Total Suicides (Col. 4),FALSE,Rate of Suicides (Col. 6 = Col.3/Col.5)
0,State,ANDHRA PRADESH,6465,4.6,523.2,12.4
1,State,ARUNACHAL PRADESH,112,0.1,15.1,7.4
2,State,ASSAM,2370,1.7,344.2,6.9
3,State,BIHAR,641,0.5,1201.1,0.5
4,State,CHHATTISGARH,7629,5.5,288.5,26.4
5,State,GOA,259,0.2,15.4,16.8
6,State,GUJARAT,7655,5.5,682.5,11.2
7,State,HARYANA,4191,3.0,288.1,14.5
8,State,HIMACHAL PRADESH,584,0.4,73.2,8.0
9,State,JAMMU & KASHMIR,284,0.2,135.3,2.1
10,State,JHARKHAND,1646,1.2,375.8,4.4
11,State,KARNATAKA,11288,8.1,659.7,17.1
12,State,KERALA,8556,6.1,351.9,24.3
13,State,MADHYA PRADESH,12457,9.0,826.1,15.1
14,State,MAHARASHTRA,18916,13.6,1225.3,15.4
15,State,MANIPUR,58,0.0,31.1,1.9
16,State,MEGHALAYA,198,0.1,32.3,6.1
17,State,MIZORAM,70,0.1,12.0,5.9
18,State,NAGALAND,41,0.0,21.6,1.9
19,State,ODISHA,4582,3.3,437.3,10.5
20,State,PUNJAB,2357,1.7,299.4,7.9
21,State,RAJASTHAN,4531,3.3,776.0,5.8
22,State,SIKKIM,220,0.2,6.7,33.1
23,State,TAMIL NADU,13493,9.7,758.1,17.8
24,State,TELANGANA,7675,5.5,372.8,20.6
25,State,TRIPURA,728,0.5,40.0,18.2
26,State,UTTAR PRADESH,5464,3.9,2259.7,2.4
27,State,UTTARAKHAND,516,0.4,111.8,4.6
28,State,WEST BENGAL,12665,9.1,971.1,13.0
29,State,TOTAL (STATES),135651,97.5,13135.2,10.3
30,UT,A & NISLANDS,181,0.1,4.0,45.5
31,UT,CHANDIGARH,131,0.1,11.8,11.1
32,UT,D & N HAVELI,95,0.1,5.6,17.1
33,UT,DAMAN & DIU,46,0.0,4.2,10.9
34,UT,DELHI (UT),2526,1.8,199.4,12.7
35,UT,LAKSHADWEEP,0,0.0,0.7,0.0
36,UT,PUDUCHERRY,493,0.4,15.2,32.5
37,UT,TOTAL (UTs),3472,2.5,240.8,14.4
38,TOTAL (ALL INDIA),TOTAL (ALL INDIA),139123,100.0,13376.1,10.4
